,logFC,logCPM,F,PValue,FDR
WBGene00016611,-0.374517941,7.132151489,21.1511864,3.97720543401631e-05,0.000101161
WBGene00012591,2.054886969,4.574768074,21.13056524,4.00614897997119e-05,0.000101878
WBGene00011279,0.403932389,5.550961966,21.1157581,4.0260821211563e-05,0.000102367
WBGene00021021,-0.507807427,4.466751949,21.10962265,4.03475126709608e-05,0.000102568
WBGene00010263,-0.746252701,2.896824202,21.08950179,4.06336840682974e-05,0.000103265
WBGene00009958,-0.361445673,5.229257064,21.08882709,4.06365717218806e-05,0.000103265
WBGene00044612,0.823869492,2.227064548,21.08692691,4.06790013398615e-05,0.000103354
WBGene00009688,-0.316944023,8.005035646,21.083557,4.0710367105529e-05,0.000103415
WBGene00009888,0.360314921,9.751820811,21.06308281,4.09990009048898e-05,0.000104129
WBGene00011193,-0.493640872,3.312526456,21.05717649,4.10870270155364e-05,0.000104333
WBGene00022271,0.396510589,5.944183284,21.05439995,4.11221162142928e-05,0.000104403
WBGene00022274,-1.856746278,2.624405516,21.05211439,4.1170381540931e-05,0.000104507
WBGene00010023,1.768144527,-0.479182433,21.11025146,4.11882405579393e-05,0.000104533
WBGene00001214,-0.521559382,2.997755344,21.0422148,4.13014256341944e-05,0.000104801
WBGene00001107,-1.519791093,2.158818297,21.03204425,4.14625790485924e-05,0.00010519
WBGene00020347,-0.287191387,8.194793078,21.01930579,4.16233979358718e-05,0.000105579
WBGene00021394,0.235146262,5.466912318,21.016351,4.16660118599542e-05,0.000105668
WBGene00020417,-0.26087405,7.364383988,21.01537776,4.16799160558008e-05,0.000105684
WBGene00016124,-0.3635911,4.286751635,21.0109219,4.17462059029322e-05,0.000105832
WBGene00012389,0.316890906,5.639233099,21.00239929,4.18672943493383e-05,0.00010612
WBGene00007054,0.392927023,6.672408899,20.99996386,4.19024702357386e-05,0.00010619
WBGene00018376,0.383724801,4.755179392,20.99671314,4.19502712524351e-05,0.000106291
